,Product Link,Product Name,image,Star Rating,review_count,Price,Stock Status,Brand,Unit_Size,Sku,Description,Details
12,https://www.dollargeneral.com/p/scent-happy-bath-bomb-coconut-coast/811170039697,Scent Happy Bath Bomb Coconut Coast,https://dggo.dollargeneral.com/images/30/97/30976401_0.jpg,5.0,1 ,$1.00,4 in stock at,Scent Happy,1.0 each,30976401,"['PLACE BATH BOMB IN WARM WATER, LET THE BATH BOMB DISOLVE AND RELEASE SCENT.', 'Coconut Coast- Dive in to an ocean front blend of creamy coconut & crisp sea salt spray.Smells like...Vacation, tan lines and good times.']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Scent Happy', 'Unit Size': '1.0 each', 'SKU': '30976401'}"
13,https://www.dollargeneral.com/p/body-fantasies-japanese-cherry-blossom-body-spray-fl-oz-/26169038890,"Body Fantasies Japanese Cherry Blossom Body Spray, 3.2 Fl. Oz.",https://dggo.dollargeneral.com/images/00/70/00702901_0.jpg,5.0,2 ,$3.35,3 in stock at,Body Fantasies,3.2 ounce,00702902,"['A charming blend of warm oriental notes, fresh cherry blossom, succulent rose, and amber. Body Fantasies Body Sprays are made with only the finest quality fragrances oils in flirty, uplifting scents so you can feel confident all day.', 'Longest lasting', 'Light, clean, fresh and energizing fragrance', 'Not tested on animals']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Body Fantasies', 'Unit Size': '3.2 ounce', 'SKU': '00702902'}"
14,https://www.dollargeneral.com/p/imagine-glitter-glue-oz---assorted/430000954131,"Imagine Glitter Glue, 4 Oz - Assorted",https://dggo.dollargeneral.com/images/20/78/20788801_0.jpg,1.7,3 ,$1.00,37 in stock at,Imagine,4.0 ounce,20788801,"['Great for arts and crafts', 'Perfect for schoolwork', 'Assorted colors', 'Product ships in assorted styles based on warehouse availability']","{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Imagine', 'Unit Size': '4.0 ounce', 'SKU': '20788801'}"
15,https://www.dollargeneral.com/p/body-fantasies-twilight-mist-body-spray-fl-oz-/26169037329,"Body Fantasies Twilight Mist Body Spray, 3.2 Fl. Oz.",https://dggo.dollargeneral.com/images/05/55/05557701_0.jpg,5.0,2 ,$3.35,2 in stock at,Body Fantasies,3.2 ounce,05557701,"['Get lost in a mesmerizing and mysterious fragrance featuring notes of ...', 'coconut', 'mandarin orange', 'plum']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Body Fantasies', 'Unit Size': '3.2 ounce', 'SKU': '05557701'}"
16,https://www.dollargeneral.com/p/crafter-s-closet-tinsel-stems-ct/810031953110,"Crafter'S Closet Tinsel Stems, 25 Ct",https://dggo.dollargeneral.com/images/27/04/27046201_0.jpg,0.0,Number of Reviews is not available,$1.00,6 in stock at,Brand Description not available,25.0 each,27046201,"['Includes Assorted Metallic Colors: Silver, Red, Blue, Purple, Green, Yellow', 'Perfect for Decorating & Crafting!', 'For Ages 3+']","{'Available': 'In Store, DG Pickup', 'Unit Size': '25.0 each', 'SKU': '27046201'}"
17,https://www.dollargeneral.com/p/crafter-s-closet-wood-craft-sticks-ct/810031953295,"Crafter'S Closet Wood Craft Sticks, 70 Ct",https://dggo.dollargeneral.com/images/27/04/27046301_0.jpg,0.0,Number of Reviews is not available,$1.00,1 in stock at,Brand Description not available,70.0 each,27046301,"['Small Wood Craft Sticks', 'Perfect for Crafting & More!', '4.5"" Length']","{'Available': 'In Store, DG Pickup', 'Unit Size': '70.0 each', 'SKU': '27046301'}"
18,https://www.dollargeneral.com/p/body-fantasies-signature-body-spray-cotton-candy-fl-oz-/26169063700,"Body Fantasies Signature Body Spray, Cotton Candy 3.2 Fl. Oz.",https://dggo.dollargeneral.com/images/00/70/00702401_0.jpg,0.0,Number of Reviews is not available,$3.35,3 in stock at,Body Fantasies,3.2 ounce,00702402,[],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'Body Fantasies', 'Product Form': 'Aerosols', 'Unit Size': '3.2 ounce', 'SKU': '00702402'}"
19,https://www.dollargeneral.com/p/true-living-vanilla-sugar-jar-candle/47223500443,True Living Vanilla Sugar Jar Candle,https://dggo.dollargeneral.com/images/24/34/24345401_0.jpg,4.8,13 ,$6.00,Item not sold at,True Living,1.0 each,24345401,[],"{'Available': 'Shipping', 'Brand Description': 'True Living', 'Unit Size': '1.0 each', 'SKU': '24345401'}"
20,https://www.dollargeneral.com/p/artskills-crafters-closet-premium-paint-brush-set-ct/672125036570,"Artskills Crafters Closet Premium Paint Brush Set, 6 Ct",https://dggo.dollargeneral.com/images/16/58/16585801_0.jpg,4.9,8 ,$4.50,6 in stock at,Artskills,6.0 each,16585801,"['Set includes 6 popular artist brush styles', 'Great for use on multiple surfaces', 'Mixed brush sizes for acrylic, oil, or watercolor paints']","{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '6.0 each', 'SKU': '16585801'}"
21,https://www.dollargeneral.com/p/body-fantasies-body-spray-pink-vanilla-kiss-fl-oz-/26169034786,"Body Fantasies Body Spray, Pink Vanilla Kiss, 3.2 Fl. Oz.",https://dggo.dollargeneral.com/images/13/99/13992301_0.jpg,0.0,Number of Reviews is not available,$3.35,1 in stock at,Body Fantasies,3.2 ounce,13992301,"['3.2 fl oz', 'Pink Vanilla', 'Body Spray']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Body Fantasies', 'Unit Size': '3.2 ounce', 'SKU': '13992301'}"
